,K,Perplexity,Coherence
0,2,9.35983411674536,0.4047421221365316
1,3,8.496712060943237,0.4614571228013098
2,4,7.98598218633053,0.44998517057905996
3,5,7.548967771073556,0.4398634968477767
4,6,7.2540659754585315,0.42146707547367696
5,7,6.79761885647164,0.4668050523097752
6,8,6.710512163401436,0.4234589877844482
7,9,6.633853232882979,0.38514643934999315
8,10,6.5312558382883505,0.45079606008420886
9,11,6.567313150416241,0.3966227134243738
10,12,6.278925781642524,0.3847579527778245
11,13,6.300564875181576,0.4086910290854586
12,14,6.399937235172978,0.3805825830069463
13,15,6.942821416881322,0.36707921300208957
14,16,7.313596762670908,0.4225574225112084
15,17,8.319808259909841,0.4315278980047057
16,18,12.228163107466592,0.41981662706386885
17,19,13.55959269115631,0.38899611391233985
18,20,95.76631165262553,0.40710921291560986
19,21,279.94771144870765,0.3983302578713803
20,22,333.47540395393736,0.4000352463158174
21,23,371.3829998712504,0.4108438895137623
22,24,414.5262632873443,0.4158230885532597
23,25,475.212458337728,0.4032576792413082
24,26,532.3910124909695,0.39460237888406835
25,27,608.0879849555098,0.40982623578861266
26,28,687.703709712871,0.38289473296516
27,29,777.3445180122843,0.32773418546675537
28,30,883.4284873777152,0.28026369111443494
